codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
53,7335,0.17573278800272663,0.013496932515337423,0.8242672119972734,0.24812542603953647,0.05685071574642127
54,2734,0.15801024140453546,0.017922457937088514,0.8419897585954645,0.2717629846378932,0.060351133869787854
55,10239,0.2799101474753394,0.019630823322590096,0.7200898525246606,0.2858677605234886,0.04873522804961422
56,1334,0.12293853073463268,0.03223388305847077,0.8770614692653673,0.2631184407796102,0.0712143928035982
57,10068,0.27940007945967427,0.024235200635677395,0.7205999205403257,0.29410011918951134,0.07032181168057211
58,2482,0.10314262691377918,0.0128928283642224,0.8968573730862208,0.24738114423851731,0.04633360193392425
59,12560,0.1264331210191083,0.019187898089171974,0.8735668789808917,0.2409235668789809,0.09761146496815287
60,56491,0.06995804641447312,0.015524596838434442,0.9300419535855269,0.23315218353366024,0.1951284275371298
61,28899,0.12028097858057374,0.021730855738952906,0.8797190214194263,0.25104674902245755,0.1883110142219454
62,14046,0.1257297451231667,0.024490958279937348,0.8742702548768333,0.2334472447671935,0.19728036451658834
63,21966,0.13143039242465626,0.02804333970681963,0.8685696075753437,0.24387690066466358,0.2035873622871711
64,38168,0.15096415845734645,0.042470132047788725,0.8490358415426535,0.26409557744707607,0.23868161810941102
65,26932,0.13251893658101888,0.03909847022129809,0.8674810634189811,0.2525248774691816,0.21097579088073667
66,14713,0.19744443689254398,0.08509481410997077,0.802555563107456,0.3012302045809828,0.2794807313260382
67,9331,0.16129032258064513,0.1070624799056907,0.8387096774193549,0.2180902368449255,0.42803558032365235
68,33437,0.1661632323473996,0.07952268445135628,0.8338367676526004,0.2586057361605407,0.24876633669288511
69,13374,0.16771347390459102,0.0844922984896067,0.832286526095409,0.24674742036787797,0.3066397487662629
70,22844,0.24111364034319738,0.026440203116792155,0.7588863596568026,0.27670285414113116,0.08356680091052356
71,20163,0.1244358478401032,0.03873431533006001,0.8755641521598968,0.26355205078609334,0.1867281654515697
72,25971,0.1041161295290901,0.023372222863963652,0.8958838704709099,0.22159331562126988,0.150051981055793
73,28727,0.10300414244439027,0.017822954015386222,0.8969958575556097,0.22518884672955755,0.10578897900929439
