codi_barri,poblacio_total,espanya,no_consta_x,resta_de_la_uni_europea,resta_del_mn,amrica_central,amrica_del_nord,amrica_del_sud,austrlia_i_nova_zelanda,carib,europa_meridional,europa_occidental,europa_oriental,europa_septentrional,no_consta_y,frica_central,frica_meridional,frica_occidental,frica_oriental,frica_septentrional,sia_central,sia_meridional,sia_occidental,sia_oriental,sia_sudoriental,estudis_superiors_espanya,estudis_superiors_ue,estudis_superiors_mon,estudis_inferiors_espanya,estudis_inferiors_ue,estudis_inferiors_mon,joves_espanya,joves_no_consta,joves_resta_de_la_uni_europea,joves_resta_del_mn,joves_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_pob_espanyola,pct_joves,pct_universitaris
32,33913,29814,20,1645,2445,162,93,934,8,87,30555,493,323,285,12,10,8,24,4,135,4,264,150,342,31,8604,910,1720,3900,67,570,6262,16,860,2212,9350,0.12086810367705603,0.05124878365228673,0.879131896322944,0.27570548167369446,0.3312593990505116
33,25474,22226,8,1032,2214,151,35,1049,4,71,22678,253,368,149,8,8,8,29,0,107,8,209,84,260,20,4987,447,1148,3874,61,620,4428,4,509,1917,6858,0.1275025516212609,0.0418858443903588,0.8724974483787391,0.26921567088011306,0.25838109444924234
34,8824,7667,8,365,790,58,16,315,8,37,7793,111,185,36,8,5,0,25,0,39,8,96,20,76,8,1351,164,371,1695,27,202,1528,0,174,587,2289,0.13111967361740706,0.04317769718948323,0.8688803263825929,0.2594061650045331,0.21373526745240254
35,35784,31167,4,1200,3416,281,45,1621,4,208,31612,343,510,159,4,18,4,44,4,288,4,190,145,296,16,6493,508,1426,5335,107,1050,6073,12,620,2811,9516,0.12902414486921532,0.03479208584842387,0.8709758551307847,0.2659289067739772,0.23549631120053655
36,9399,8887,0,187,325,32,8,141,0,11,8956,54,67,32,0,8,0,4,4,34,4,17,19,16,8,2060,86,185,1364,13,88,1692,0,77,267,2036,0.05447388020002131,0.02074688796680498,0.9455261197999787,0.21661878923289712,0.24800510692626876
37,31449,27538,8,767,3142,270,14,1509,4,101,27795,178,519,51,4,8,0,67,0,313,8,282,135,178,21,2087,223,703,8254,101,1133,5657,8,334,2362,8361,0.12436007504213176,0.024833857992305003,0.8756399249578682,0.26585900982543165,0.09580590797799612
38,11360,9993,4,333,1033,92,8,463,0,46,10129,56,191,41,4,4,0,25,0,78,0,173,29,29,8,990,99,346,2689,43,384,1968,4,166,841,2979,0.12033450704225357,0.03001760563380282,0.8796654929577464,0.26223591549295777,0.12632042253521128
39,6721,6013,0,148,560,61,8,241,4,34,6082,39,80,8,0,11,0,14,0,66,0,39,14,28,4,739,40,243,1619,22,180,1017,0,59,442,1518,0.1053414670435947,0.02321083172147002,0.8946585329564053,0.22585924713584288,0.15206070525219462
40,5041,4525,0,98,418,38,8,228,0,13,4558,16,63,15,0,0,0,13,0,27,0,32,11,19,8,720,38,213,1143,19,107,659,0,49,331,1039,0.10236064272961709,0.021027573894068636,0.8976393572703829,0.2061098988295973,0.19262051180321366
41,5467,5019,0,137,311,29,8,151,4,14,5067,32,104,15,0,0,4,8,4,11,0,4,13,20,0,1037,44,244,970,12,70,836,0,54,249,1139,0.08194622279129327,0.02652277300164624,0.9180537772087067,0.20834095481982806,0.24236327053228462
