codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_poblacio_total,delta_import_euros,delta_index_gini,delta_total_incidents_1000_hab,delta_locals_restauracio_1000_hab,delta_locals_sanitaris_1000_hab,delta_locals_serveis_professionals_1000_hab,delta_preu_mitja_m2,delta_pisos_turistics_1000_hab,cluster
50,0.3591237613815822,-0.0131403284548097,-0.0452790143488863,0.5409631019387119,0.0729220779220779,0.2761424657534246,-0.1020663744520977,0.0543059389761525,-0.0882274773767265,1.174746313219956,-0.2113557325685873,0.5632183908045978,-0.378643910508584,2
51,0.4312474150163526,0.3047650208289006,-0.0266925833030608,0.3725648290415707,0.0448225094061835,0.2725417110401136,-0.0828075709779179,0.2724455654594636,-0.270780678014121,0.2761338134752884,-0.3243997458072002,0.5934065934065935,0.4356505401596995,0
52,0.4388413612003409,0.4480905751865509,-0.0518997862234704,0.3702251902208855,0.0265650265650265,0.2701513591479981,-0.073057081045099,0.192308201408376,-0.0872396294747584,0.3330096167511488,-0.2843182277411414,0.4479166666666667,-0.2694081908190818,0
53,0.3785775717854768,0.3119455308594868,0.0357920491336702,0.559652592721206,0.0394001363326516,0.3650626109485196,-0.1089542892924233,0.1048215294673845,0.3896904512067157,0.0,0.0,0.534090909090909,0.0,2
54,0.3006250551333913,0.5947115150925972,-0.1037707878609489,0.4151051171806532,0.0749817117776152,0.4472147496883407,-0.1231003039513677,0.1520768445572801,1.790745151412044,0.0,0.0,0.2622950819672132,0.0,2
55,0.110239302649215,-0.1413765656382359,-0.0807892485151398,0.322955388533353,0.0603574567828889,0.2865095524845125,-0.1870781099324976,0.2689737226141676,0.0688219581836603,2.772312793589389,-0.5284609008013265,0.5757575757575759,0.0,2
56,0.4310602289696368,-0.2140484100616992,-0.1674098945490792,0.1364124597207304,0.0652173913043478,0.3792182568584608,-0.1483679525222553,0.4313429075333838,0.4081632653061227,0.0,0.0,0.0,0.0,2
57,0.0647517957617262,0.199438676794497,-0.0965597121924728,0.3188998045722835,0.0216527612236789,0.3244643770042293,-0.0776173285198553,0.0470949450370564,0.1490332997996434,1.93641843282131,0.7129107524790979,0.5625,-0.0211938557262298,2
58,0.468190235282727,0.2316276142525174,-0.0929053070837232,0.4377260633819419,0.040290088638195,0.4173458595159584,-0.1674140508221226,0.3601975213013166,0.4419054996127032,0.0,0.0,0.9166666666666666,0.0,2
59,1.0833611096665476,0.0398684066033575,0.0386992107255112,0.3166076743306597,0.1492038216560509,0.3152072863475296,-0.0989729225023342,0.0442011916308716,0.8884489635877466,-0.1298323403076071,2.35636097309923,0.2386363636363635,-0.129832340307607,0
60,0.5194864058662853,0.4217294451872775,-0.134280692705885,0.2642580620278882,0.0249774300331026,0.2804062361243055,-0.0493150684931507,0.1081448198375582,-0.0115875657393707,0.2641982251701635,-0.0543881837481366,0.4,0.1924381809877991,0
61,0.4796947789869749,0.5678697581287496,-0.0603033381973375,0.3176477876513331,0.0349147029308972,0.2701497315577012,-0.0404448938321537,0.0879971545284803,-0.0245342860964098,-0.1336950556418996,-0.3200370023628014,0.4948453608247424,0.0122757408433481,0
62,0.3461724184639398,0.4603583236984108,0.0143780883805191,0.3373401447613968,0.0410793108358251,0.279957556016188,-0.0704078075984663,0.1062278725260607,0.0353890109070306,0.6809478219243656,-0.265468178654899,0.4736842105263157,0.4408124187923133,0
63,0.3321240059148395,0.4901052310633528,-0.0111695664380611,0.3216972442178291,0.0044614404079031,0.2920147159135384,-0.0749315409509584,0.1387709493916874,0.1593844374477929,0.5928934010152285,-0.1150592216582065,0.4948453608247424,0.9911167512690352,0
64,0.492117347804079,0.6733885989611965,0.022942862488718,0.3236784740933797,0.0045849926640117,0.3054741824464836,-0.059945839487937,0.1328060923767048,-0.025088518690894,0.9043122206989768,-0.3189122559940262,0.4905660377358491,0.0765455281325193,0
65,0.3960411523356847,0.631017931030524,6.980569070139335e-05,0.3625141437106049,-0.0171543145700282,0.3337646252654787,-0.0718045112781954,0.088438864532907,0.0637016176117045,1.0349074423876086,0.1739850629159281,0.4951456310679611,-0.0028953532300716,0
66,0.374413275736573,0.3818669997619358,-0.1026195336922061,0.263974669172984,0.1155440766668932,0.3623361144219308,-0.0467289719626169,0.0704863951674583,0.1337121578662538,0.9721318467068792,-0.6276394415308691,0.5043478260869566,-0.1124519141733219,2
67,0.3843435425144575,0.1742942342642492,0.1075480019553066,0.1413570881059219,0.0007501875468867,0.2737299094771845,-0.0577803203661328,0.0641104397091514,0.8025693035835024,1.997751124437781,-0.2228052640346494,0.4265734265734264,-0.0547631589610598,2
68,0.4205305044367497,0.439734130356995,-0.0640357396552076,0.3714126980672636,0.021353590334061,0.3885355376923289,-0.0264364303178483,0.0472036594510567,-0.0316664097812524,0.8765946336368872,-0.3196134415995957,0.5213675213675215,0.0176777923256794,2
69,0.3903605024530337,0.1577628834309418,-0.1781289678668741,0.1764208112222068,0.0059069836997158,0.3394142170530284,-0.0110180696341999,0.08271334083531,0.6983014940905374,0.5622006774909476,-0.1715602467851036,0.504,-0.1429933587432108,2
70,0.6030889088642664,0.4251424368163674,0.0677396768065709,0.4900174338541602,0.220977061810541,0.335478641484964,-0.0811004784688994,-0.0698199184593669,-0.0540939600026661,1.1294421339452172,-0.3447870357091639,0.488095238095238,-0.1263827142788852,0
71,0.5526285600297532,0.6068056910068506,-0.0766842002886055,0.3667254172329626,0.0550513316470763,0.3344227422162057,-0.0516023900054317,0.0749921579514233,-0.0306374277252855,0.3852771118318996,-0.214662449382517,0.6300000000000001,-0.1311639167019226,0
72,0.6394976943223627,0.5107229443794654,0.0049121435684381,0.3619543083064833,0.0076238881829733,0.2746343714553116,-0.0454991174740144,0.1381315231681466,0.012687546645392,0.4103006570651094,0.0869513000660541,0.4361702127659574,0.5437859044416424,0
73,0.6764739415891836,0.4655066773504274,-0.0305807871286195,0.4297128553870903,0.0182058690430605,0.2811413056575277,-0.0479668049792528,0.2337739015834254,-0.0874109371454502,0.8005527065527064,1.2631452991452994,0.7912087912087914,0.4731794871794871,0
