codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab,cluster
23,24640,0.1165990259740259,0.0717938311688311,0.2278409090909091,0.3951704545454545,22779.6875,38.48571428571428,21.631493506493506,3.246753246753247,0.974025974025974,0.9334415584415584,14.5,0.9334415584415584,3
24,16501,0.1024786376583237,0.0584207017756499,0.2312587115932367,0.4137325010605417,26779.090909090908,40.79090909090909,23.392521665353616,3.33313132537422,3.5755408763105265,0.5454214896066905,14.0,1.8786740197563785,3
25,25368,0.1014664143803216,0.0443472090823084,0.2316698202459791,0.3931725007883948,23171.166666666668,39.20625,19.079154840744245,5.203405865657522,2.522863450015768,1.1431725007883948,12.8,1.0249132765689055,3
26,46711,0.1094817066643831,0.0533065016805463,0.2365609813534285,0.4170537988910535,24058.483870967742,39.67857142857143,12.373959024640875,9.226948684464045,2.247864528697737,1.5842092868917386,12.7,5.801631307400826,3
27,29024,0.123449558985667,0.0602260198456449,0.2663313120176406,0.4019432194046306,19320.52631578948,36.34736842105264,16.124586549062844,4.203417861080485,0.9302646085997794,1.6538037486218302,12.3,5.443770672546858,3
28,15520,0.1235824742268041,0.0539948453608247,0.2563788659793814,0.3219716494845361,18361.454545454544,35.50909090909091,29.70360824742268,2.5128865979381447,1.095360824742268,0.9020618556701032,11.6,2.2551546391752577,3
29,7351,0.1401169908855938,0.0565909400081621,0.2783294789824513,0.2402394232077268,13610.8,33.86,40.94680995782887,1.9045027887362265,0.272071826962318,0.272071826962318,9.9,1.7684668752550674,1
30,13220,0.1215582450832072,0.0573373676248108,0.2713313161875945,0.3314674735249622,16934.6,33.21,31.996974281391832,3.5552193645990924,1.5128593040847202,1.4372163388804842,11.3,2.64750378214826,3
31,50441,0.1872088182232707,0.0988878095200333,0.3385539541246208,0.3617890208362245,15359.416666666666,35.138888888888886,12.132987054182111,10.447849963323486,1.6653119486132313,1.9230387978033745,12.3,15.22570924446383,2
32,33913,0.120868103677056,0.0512487836522867,0.2757054816736944,0.3312593990505116,16730.04,32.684,14.419249255447763,4.3935953764043285,1.2974375608173856,1.8576946893521655,11.3,6.78205997699997,2
33,25474,0.1275025516212609,0.0418858443903588,0.269215670880113,0.2583810944492423,14797.21052631579,32.28947368421053,16.762188898484727,4.435895422784015,0.9028813692392242,2.0020412970087147,10.6,3.415246918426631,2
34,8824,0.131119673617407,0.0431776971894832,0.2594061650045331,0.2137352674524025,13580.285714285714,32.8,36.71804170444243,1.926563916591115,0.113327289211242,1.473254759746147,10.1,1.473254759746147,1
35,35784,0.1290241448692153,0.0347920858484238,0.2659289067739772,0.2354963112005365,14323.76,33.116,13.74916163648558,3.968253968253968,0.8104180639391907,2.2915269394142634,10.4,1.5090543259557343,2
36,9399,0.0544738802000213,0.0207468879668049,0.2166187892328971,0.2480051069262687,16739.14285714286,32.6,33.83338653048197,1.5959144589849985,0.2127885945313331,0.5319714863283328,11.4,0.2127885945313331,1
37,31449,0.1243600750421317,0.024833857992305,0.2658590098254316,0.0958059079779961,10449.0,29.463636363636365,15.771566663486915,2.702788641928201,0.2543801074755953,0.9221278895990334,9.1,0.826735349295685,1
38,11360,0.1203345070422535,0.0300176056338028,0.2622359154929577,0.1263204225352112,11579.75,30.475,27.55281690140845,2.4647887323943665,0.176056338028169,1.2323943661971832,9.5,0.7922535211267606,1
39,6721,0.1053414670435947,0.02321083172147,0.2258592471358428,0.1520607052521946,12743.2,31.44,50.88528492783812,2.2318107424490403,0.297574765659872,0.148787382829936,8.3,0.4463621484898081,1
40,5041,0.102360642729617,0.0210275738940686,0.2061098988295973,0.1926205118032136,13898.5,29.375,66.05832176155525,2.5788534021027574,0.7934933544931562,0.3967466772465781,10.1,0.0,1
41,5467,0.0819462227912932,0.0265227730016462,0.208340954819828,0.2423632705322846,15272.5,27.6,70.05670385952075,2.012072434607646,0.1829156758734223,0.1829156758734223,10.1,0.0,1
42,542,0.1660516605166051,0.018450184501845,0.4059040590405904,0.2177121771217712,12247.0,33.8,289.6678966789668,3.690036900369003,0.0,0.0,8.0,0.0,1
43,26469,0.0996637576032339,0.0253126298689032,0.2373720200989837,0.1829687559031319,13883.047619047618,31.03333333333333,19.154482602289477,4.231364993010692,0.5667006687067891,0.86894102535041,9.5,0.1511201783218104,1
