codi_barri,poblacio_total,pct_pob_estrangera,pct_pob_estrangera_occidental,pct_joves,pct_universitaris,import_euros,index_gini,total_incidents_1000_hab,locals_restauracio_1000_hab,locals_sanitaris_1000_hab,locals_serveis_professionals_1000_hab,preu_mitja_m2,pisos_turistics_1000_hab
16,18384,0.12086597040905134,0.027959094865100086,0.26827676240208875,0.18586814621409922,13377.76923076923,31.023076923076925,26.000870322019146,3.154917319408181,0.4351610095735422,1.3054830287206267,9.8,2.284595300261097
17,24016,0.15972684876748833,0.031270819453697536,0.2866422385076616,0.2021568954030646,13373.375,32.96875,17.19686875416389,2.331778814123917,0.5413057961359095,1.3324450366422385,10.7,3.7475016655562956
18,40703,0.16055327617128956,0.04407537527946343,0.29420435840110065,0.2570817875832248,14615.551724137931,33.286206896551725,14.249563914207798,4.790801660811242,0.5896371274844606,1.00729675945262,11.0,4.643392378940127
19,46003,0.10318892246157862,0.036084603178053606,0.25589635458557053,0.350651044497098,19300.314285714285,34.32,12.347020846466535,7.086494359063539,1.7172793078712258,1.4781644675347259,11.8,3.717148881594679
20,23810,0.10466190676186471,0.029567408651826964,0.2602267954640907,0.3152036959260815,17443.533333333333,32.306666666666665,20.789584208315834,4.5779084418311635,1.133977320453591,1.1759764804703905,11.4,1.511969760604788
21,11716,0.14945373847729604,0.08134175486514168,0.2214066234209628,0.4199385455786958,25964.571428571428,39.06,38.32365995220212,3.0727210652099695,0.5121201775349948,0.0,14.1,0.6828269033799932
22,4604,0.13205907906168546,0.09079061685490877,0.22284969591659426,0.32406602953953084,17615.0,39.06666666666666,82.10251954821894,3.0408340573414425,0.21720243266724587,0.21720243266724587,12.1,0.6516072980017377
23,24640,0.11659902597402594,0.07179383116883117,0.2278409090909091,0.3951704545454545,22779.6875,38.48571428571428,21.631493506493506,3.246753246753247,0.974025974025974,0.9334415584415584,14.5,0.9334415584415584
24,16501,0.10247863765832377,0.05842070177564996,0.23125871159323677,0.41373250106054177,26779.090909090908,40.79090909090909,23.392521665353616,3.33313132537422,3.5755408763105265,0.5454214896066905,14.0,1.8786740197563785
25,25368,0.10146641438032167,0.04434720908230842,0.23166982024597918,0.39317250078839483,23171.166666666668,39.20625,19.079154840744245,5.203405865657522,2.522863450015768,1.1431725007883948,12.8,1.0249132765689057
26,46711,0.10948170666438317,0.05330650168054634,0.23656098135342854,0.4170537988910535,24058.483870967742,39.67857142857143,12.373959024640877,9.226948684464045,2.247864528697737,1.5842092868917386,12.7,5.801631307400826
27,29024,0.12344955898566701,0.06022601984564498,0.2663313120176406,0.4019432194046306,19320.526315789477,36.34736842105264,16.124586549062844,4.203417861080485,0.9302646085997794,1.6538037486218302,12.3,5.443770672546858
28,15520,0.12358247422680413,0.053994845360824745,0.2563788659793814,0.3219716494845361,18361.454545454544,35.50909090909091,29.70360824742268,2.5128865979381447,1.0953608247422681,0.9020618556701031,11.6,2.2551546391752577
29,7351,0.14011699088559382,0.05659094000816216,0.27832947898245136,0.24023942320772684,13610.8,33.86,40.94680995782887,1.9045027887362262,0.272071826962318,0.272071826962318,9.9,1.7684668752550674
30,13220,0.12155824508320723,0.05733736762481089,0.27133131618759454,0.3314674735249622,16934.6,33.21,31.996974281391832,3.5552193645990924,1.5128593040847202,1.4372163388804842,11.3,2.64750378214826
31,50441,0.18720881822327073,0.0988878095200333,0.33855395412462086,0.3617890208362245,15359.416666666666,35.138888888888886,12.132987054182113,10.447849963323486,1.6653119486132313,1.9230387978033743,12.3,15.22570924446383
32,33913,0.12086810367705603,0.05124878365228673,0.27570548167369446,0.3312593990505116,16730.04,32.684,14.419249255447763,4.3935953764043285,1.2974375608173856,1.8576946893521658,11.3,6.78205997699997
33,25474,0.1275025516212609,0.0418858443903588,0.26921567088011306,0.25838109444924234,14797.21052631579,32.28947368421053,16.762188898484727,4.435895422784015,0.9028813692392242,2.0020412970087147,10.6,3.415246918426631
34,8824,0.13111967361740706,0.04317769718948323,0.2594061650045331,0.21373526745240254,13580.285714285714,32.8,36.71804170444243,1.926563916591115,0.11332728921124206,1.473254759746147,10.1,1.473254759746147
35,35784,0.12902414486921532,0.03479208584842387,0.2659289067739772,0.23549631120053655,14323.76,33.116,13.74916163648558,3.968253968253968,0.8104180639391907,2.2915269394142634,10.4,1.5090543259557343
36,9399,0.05447388020002131,0.02074688796680498,0.21661878923289712,0.24800510692626876,16739.14285714286,32.6,33.83338653048197,1.5959144589849983,0.21278859453133311,0.5319714863283328,11.4,0.21278859453133311
37,31449,0.12436007504213176,0.024833857992305003,0.26585900982543165,0.09580590797799612,10449.0,29.463636363636365,15.771566663486915,2.7027886419282012,0.25438010747559536,0.9221278895990334,9.1,0.826735349295685
38,11360,0.12033450704225357,0.03001760563380282,0.26223591549295777,0.12632042253521128,11579.75,30.475,27.552816901408452,2.4647887323943665,0.17605633802816903,1.2323943661971832,9.5,0.7922535211267606
39,6721,0.1053414670435947,0.02321083172147002,0.22585924713584288,0.15206070525219462,12743.2,31.44,50.88528492783812,2.2318107424490403,0.297574765659872,0.148787382829936,8.3,0.4463621484898081
40,5041,0.10236064272961709,0.021027573894068636,0.2061098988295973,0.19262051180321366,13898.5,29.375,66.05832176155525,2.5788534021027574,0.7934933544931562,0.3967466772465781,10.1,0.0
41,5467,0.08194622279129327,0.02652277300164624,0.20834095481982806,0.24236327053228462,15272.5,27.6,70.05670385952075,2.012072434607646,0.18291567587342236,0.18291567587342236,10.1,0.0
42,542,0.16605166051660514,0.01845018450184502,0.4059040590405904,0.2177121771217712,12247.0,33.8,289.6678966789668,3.6900369003690034,0.0,0.0,8.0,0.0
43,26469,0.09966375760323398,0.025312629868903244,0.23737202009898373,0.18296875590313197,13883.047619047618,31.03333333333333,19.154482602289473,4.231364993010692,0.5667006687067891,0.86894102535041,9.5,0.1511201783218104
44,25444,0.12116805533721109,0.020319132211916367,0.2472488602421003,0.1801210501493476,13364.736842105263,31.0,17.292878478226694,4.598333595346644,0.8646439239113347,1.4541738720326993,9.3,0.23581197924854583
45,24299,0.13391497592493518,0.01609119716860776,0.24947528704884975,0.13514959463352402,12098.833333333334,30.63888888888889,18.43697271492654,3.909625910531298,0.5350014403884934,1.4815424503065968,9.1,0.08230791390592206
46,15328,0.20243997912317324,0.0161143006263048,0.25802453027139877,0.10705897703549061,10171.8,31.410000000000004,24.13883089770355,3.001043841336117,0.587160751565762,0.8481210855949897,8.3,0.0
47,2275,0.0712087912087912,0.016263736263736263,0.2571428571428571,0.07208791208791208,8950.5,34.45,74.28571428571429,0.8791208791208791,0.43956043956043955,0.0,12.5,0.0
