codi_barri,delta_pct_pob_estrangera,delta_pct_pob_estrangera_occidental,delta_pct_joves,delta_pct_universitaris,delta_pob_pct,delta_renda_pct,delta_gini_pct,delta_pct_total_incidents_1000_hab,delta_pct_locals_restauracio_1000_hab,delta_pct_locals_sanitaris_1000_hab,delta_pct_locals_serveis_professionals_1000_hab,delta_pct_preu_mitja_m2,delta_pct_pisos_turistics_1000_hab
18,0.10072559504287415,0.01512746465942396,0.015739921278956848,0.054996939836564895,0.0934820529199322,0.309599363927418,-0.05894540557339704,-0.0019229785888936265,0.24748509631227356,1.0957515128366435,-0.0631851330645956,0.43636363636363645,0.15160487170013548
19,0.05271230673454885,0.012626372564359098,-0.01327697027141847,0.05539703556381792,-0.0008260330847988175,0.28455495173283635,-0.05069930069930076,0.0977377536184144,0.043807004395849315,0.38088749419963186,-0.3671242825423435,0.4491525423728814,0.23493822848938564
20,0.061554477959029796,0.012953061858169294,-0.014206595123261917,0.05397208029071887,0.010457790844183116,0.270323672956167,-0.030127940569541982,0.18158264972347027,0.06228533753604944,0.3195339235490529,-0.3991408026696276,0.3859649122807018,0.31953392354905297
21,0.048979897136883666,-0.0018693723424706155,-0.007803985333576152,0.03554372977167519,0.03533629224991465,0.29100092433645863,0.05954209640845581,0.08848572535468578,0.20733718054410544,0.12684803517449864,inf,0.2411347517730497,0.328070898598516
22,0.034159095229351566,0.00422076795154952,-0.01399024652723388,0.04066177008787547,0.04930495221546481,0.45890812754281396,-0.055460750853242265,0.04881721772634625,-0.2512050152290268,1.859035396398261,-0.046988201200579546,0.1652892561983471,-0.04698820120057971
23,0.04592410541224812,0.009709105511513189,-0.011290905068059298,0.04637753805250189,0.008847402597402597,0.3372439810686604,4.639940608766539e-05,0.08793557160770751,0.09035320621127993,1.3541716952289002,-0.1811576712247304,0.3448275862068966,0.16361804615433048
24,0.022183441476598786,-0.005827927138146886,-0.014252076056249785,0.05020212661210505,-0.013635537240167262,0.32203890416539366,-0.010920436817472696,0.24495490356123698,-0.023042293170088744,0.5465112404247076,-0.5494115398268753,0.3857142857142856,0.1119360388143239
25,0.05931414808380686,0.018250839511531253,0.008047034546444759,0.05480913303597862,0.030234941658782717,0.3564847116027819,-0.02141452787076882,0.1691949145172792,0.05889350748734709,0.45597857279510234,-0.36405533602053003,0.390625,1.538629306411973
26,0.06014953887826058,0.024115153729110918,0.017896374857504033,0.058677207527539466,0.020616128963199247,0.31132334780970566,0.00549925960337968,0.1357546851141396,-0.03383960107251999,0.25974325628225053,-0.5498214789862229,0.44881889763779526,0.05211029645221153
27,0.05603762050151251,0.014399354779729638,0.004331358645030092,0.06122694376553256,0.03466097023153252,0.3309025034732625,-0.04749493194323804,0.12964869887946803,-0.0018113034506477008,0.897204030537364,-0.6576978576978577,0.4065040650406504,0.21118375295590475
28,0.057556533734004156,0.015019239146217514,2.039917677287839e-05,0.06278034071754596,0.05219072164948454,0.2555897730423417,-0.05683563748079871,0.1709893426388758,0.023505581986904587,0.22992687583300309,0.2898259119937013,0.44827586206896564,0.05901495932114427
29,0.061562595677713716,0.0015485948755587717,-0.01347159784550045,0.06053577059072279,0.05291797034417086,0.3031710112557676,-0.04666272888363846,0.03177908264441522,-0.5251291989664083,-0.05025839793281651,0.42461240310077547,0.45454545454545453,0.46114092625720526
