Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_DOMICILI
2025-01-01,2,Eixample,5,el Fort Pienc,20,2005,39.0890901329673,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2006,59.1445862366731,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2006,34.7404311104357,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2006,38.8378324351073,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2007,56.5135927945997,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2007,39.7261456133484,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2007,38.3639984840959,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2008,56.4577544793229,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2008,34.3502767280516,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2008,37.1990437157052,3
2025-01-01,2,Eixample,5,el Fort Pienc,20,2009,56.2245831055119,1
2025-01-01,2,Eixample,5,el Fort Pienc,20,2009,35.5982896760657,2
2025-01-01,2,Eixample,5,el Fort Pienc,20,2009,37.6825754642849,3
2025-01-01,2,Eixample,5,el Fort Pienc,21,2010,57.1497941720347,1
2025-01-01,2,Eixample,5,el Fort Pienc,21,2010,37.433914372827,2
2025-01-01,2,Eixample,5,el Fort Pienc,21,2010,38.2543867576211,3
2025-01-01,2,Eixample,5,el Fort Pienc,21,2011,57.7308981602423,1
2025-01-01,2,Eixample,5,el Fort Pienc,21,2011,36.4854271655274,2
2025-01-01,2,Eixample,5,el Fort Pienc,21,2011,36.3432833934588,3
2025-01-01,2,Eixample,5,el Fort Pienc,21,2012,55.7002589810094,1
2025-01-01,2,Eixample,5,el Fort Pienc,21,2012,37.7623900058856,2
2025-01-01,2,Eixample,5,el Fort Pienc,21,2012,37.5734931165845,3
2025-01-01,2,Eixample,5,el Fort Pienc,21,2013,53.1040200733077,1
2025-01-01,2,Eixample,5,el Fort Pienc,21,2013,36.261645583945,2
2025-01-01,2,Eixample,5,el Fort Pienc,21,2013,37.056471183861,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2014,52.5861460568827,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2014,35.5893972202884,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2014,37.288230616635,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2015,56.8155636206332,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2015,36.3781045871316,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2015,37.4405793646179,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2016,55.1423738611766,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2016,36.3741663216745,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2016,38.2839296523314,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2017,56.4579996960113,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2017,34.7847193604024,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2017,39.2118448462076,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2018,58.5141001958721,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2018,34.7079442083429,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2018,38.1084450357759,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2019,56.4387948880079,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2019,36.7276456859772,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2019,37.525580041554,3
2025-01-01,2,Eixample,5,el Fort Pienc,22,2020,53.2915697137941,1
2025-01-01,2,Eixample,5,el Fort Pienc,22,2020,36.7726788067766,2
2025-01-01,2,Eixample,5,el Fort Pienc,22,2020,39.1060795846725,3
2025-01-01,2,Eixample,6,la Sagrada Família,23,2021,56.9629182261499,1
2025-01-01,2,Eixample,6,la Sagrada Família,23,2021,35.0979708684,2
2025-01-01,2,Eixample,6,la Sagrada Família,23,2021,37.5128274131879,3
2025-01-01,2,Eixample,6,la Sagrada Família,23,2022,54.6007517114555,1
2025-01-01,2,Eixample,6,la Sagrada Família,23,2022,35.990112628125,2
2025-01-01,2,Eixample,6,la Sagrada Família,23,2022,37.844101899338,3
2025-01-01,2,Eixample,6,la Sagrada Família,23,2023,56.8934198768802,1
2025-01-01,2,Eixample,6,la Sagrada Família,23,2023,38.8231352312333,2
2025-01-01,2,Eixample,6,la Sagrada Família,23,2023,38.7484791679745,3
2025-01-01,2,Eixample,6,la Sagrada Família,23,2024,55.5060467011858,1
2025-01-01,2,Eixample,6,la Sagrada Família,23,2024,36.6411050571788,2
2025-01-01,2,Eixample,6,la Sagrada Família,23,2024,37.1815736358602,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2025,57.3293227301048,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2025,37.0179247681184,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2025,35.9644595417704,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2026,57.2820921899935,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2026,35.6104990503581,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2026,39.8454795845254,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2027,57.8340844444223,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2027,35.8179428864058,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2027,39.4403061840043,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2028,56.8504633421912,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2028,36.6297508029154,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2028,38.1931415375845,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2029,54.1476098638556,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2029,38.2229234333328,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2029,38.7483274906456,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2030,54.8401473467228,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2030,34.5806046127429,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2030,37.2137400921661,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2031,59.0146369411649,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2031,36.4893243626305,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2031,38.763230569384,3
2025-01-01,2,Eixample,6,la Sagrada Família,24,2032,58.5797144509422,1
2025-01-01,2,Eixample,6,la Sagrada Família,24,2032,35.3155370983206,2
2025-01-01,2,Eixample,6,la Sagrada Família,24,2032,37.6545049608861,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2033,56.2428165175892,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2033,36.7532744408214,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2033,38.6013969682556,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2034,58.841196693635,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2034,36.8401173530768,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2034,38.8789081027323,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2035,58.4821626655685,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2035,34.5286691233191,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2035,39.3292844897471,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2036,57.4606007261128,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2036,35.6094454212344,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2036,39.4088017863257,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2037,55.9606990889454,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2037,37.1671718799885,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2037,38.2535065238111,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2038,54.3713296678261,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2038,34.9271238780296,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2038,38.7274354364671,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2039,55.829751037747,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2039,35.8740997868853,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2039,38.6100527332058,3
2025-01-01,2,Eixample,6,la Sagrada Família,25,2040,55.0354487646196,1
2025-01-01,2,Eixample,6,la Sagrada Família,25,2040,35.2532789585327,2
2025-01-01,2,Eixample,6,la Sagrada Família,25,2040,38.0154461480248,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2041,56.9644645448715,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2041,37.2349411008916,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2041,39.4791601649097,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2042,58.9680563612517,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2042,34.6092008442138,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2042,39.829596252988,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2043,55.091478667775,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2043,36.5560423120925,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2043,38.7311296211986,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2044,59.3215224429883,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2044,37.1671216119043,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2044,35.4092514013312,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2045,56.2191089368392,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2045,35.207850051978,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2045,37.4408258030795,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2046,55.8964052696363,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2046,34.0351087797514,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2046,36.8841020057947,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2047,57.9909090436009,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2047,34.7615243264252,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2047,38.5542903617139,3
2025-01-01,2,Eixample,6,la Sagrada Família,26,2048,56.0527078894898,1
2025-01-01,2,Eixample,6,la Sagrada Família,26,2048,36.9274948840567,2
2025-01-01,2,Eixample,6,la Sagrada Família,26,2048,36.7769468559932,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2049,57.7823204652758,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2049,36.6453297652079,2
2025-01-01,2,Eixample,6,la Sagrada Família,27,2049,38.329039799107,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2050,56.0531305758899,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2050,36.115537299341,2
2025-01-01,2,Eixample,6,la Sagrada Família,27,2050,37.9498335915807,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2051,57.4619490547529,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2051,35.1256661648731,2
2025-01-01,2,Eixample,6,la Sagrada Família,27,2051,37.9551467117489,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2052,55.2318343946832,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2052,34.5720636569151,2
2025-01-01,2,Eixample,6,la Sagrada Família,27,2052,37.9972383980734,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2053,55.5419796323689,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2053,35.9127481669882,2
2025-01-01,2,Eixample,6,la Sagrada Família,27,2053,38.2213824741825,3
2025-01-01,2,Eixample,6,la Sagrada Família,27,2054,55.0721180730074,1
2025-01-01,2,Eixample,6,la Sagrada Família,27,2054,37.2576887306163,2
