Territori,Tipus de territori,Temps,Activitats immobiliàries,Ensenyament,Equipaments culturals i recreatius,Finances i assegurances,"Manteniment, neteja i producció",Reparacions (Electrodomèstics i automòbils),"Restaurants, bars i hotels (Inclòs hostals, pensions i fondes)",Sanitat i assistència
"Vallvidrera, el Tibidabo i les Planes",Barri,31 Des. 2014,1,9,4,2,-,1,14,1
"Vallvidrera, el Tibidabo i les Planes",Barri,31 Des. 2016,2,1,2,2,-,2,7,3
"Vallvidrera, el Tibidabo i les Planes",Barri,31 Des. 2019,2,3,5,3,-,1,11,3
"Vallvidrera, el Tibidabo i les Planes",Barri,31 Des. 2022,2,5,6,2,-,1,11,3
"Vallvidrera, el Tibidabo i les Planes",Barri,31 Des. 2024,2,6,7,2,-,1,10,3
Sarrià,Barri,31 Des. 2014,7,86,3,22,9,14,80,24
Sarrià,Barri,31 Des. 2016,12,58,10,17,2,17,87,39
Sarrià,Barri,31 Des. 2019,26,63,19,16,1,18,94,58
Sarrià,Barri,31 Des. 2022,27,67,13,14,2,17,88,57
Sarrià,Barri,31 Des. 2024,25,71,11,11,3,17,88,67
les Tres Torres,Barri,31 Des. 2014,11,21,5,21,5,4,55,59
les Tres Torres,Barri,31 Des. 2016,9,20,4,17,-,2,53,58
les Tres Torres,Barri,31 Des. 2019,16,19,2,17,3,2,53,91
les Tres Torres,Barri,31 Des. 2022,14,18,3,12,2,2,53,90
les Tres Torres,Barri,31 Des. 2024,15,19,3,9,2,2,49,93
Sant Gervasi - la Bonanova,Barri,31 Des. 2014,8,105,-,30,16,13,132,64
Sant Gervasi - la Bonanova,Barri,31 Des. 2016,13,67,10,31,4,17,130,61
Sant Gervasi - la Bonanova,Barri,31 Des. 2019,18,70,9,30,4,15,144,84
Sant Gervasi - la Bonanova,Barri,31 Des. 2022,16,70,11,27,4,15,144,96
Sant Gervasi - la Bonanova,Barri,31 Des. 2024,17,76,10,20,4,15,144,100
Sant Gervasi - Galvany,Barri,31 Des. 2014,39,80,7,111,46,28,431,105
Sant Gervasi - Galvany,Barri,31 Des. 2016,44,63,40,92,4,40,397,106
Sant Gervasi - Galvany,Barri,31 Des. 2019,52,62,21,71,3,31,457,122
Sant Gervasi - Galvany,Barri,31 Des. 2022,51,57,21,59,2,32,425,135
Sant Gervasi - Galvany,Barri,31 Des. 2024,52,61,16,52,1,32,404,148
el Putxet i el Farró,Barri,31 Des. 2014,22,55,4,23,24,24,122,27
el Putxet i el Farró,Barri,31 Des. 2016,19,50,11,20,3,23,128,35
el Putxet i el Farró,Barri,31 Des. 2019,24,49,15,17,1,19,120,57
el Putxet i el Farró,Barri,31 Des. 2022,23,48,12,15,1,16,126,53
el Putxet i el Farró,Barri,31 Des. 2024,29,51,10,15,2,16,127,59
